[2026-06-09 15:11:02.787][TRC][Px24456][Tx23692] asst::BattleDataConfig :: asst::AbstractConfig::load | leave, 12 ms
[2026-06-09 15:11:02.787][TRC][Px24456][Tx23692] asst::OcrConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:11:02.787][TRC][Px24456][Tx23692] asst::OcrConfig::parse | enter
[2026-06-09 15:11:02.787][TRC][Px24456][Tx23692] asst::OcrConfig::parse | leave, 0 ms
[2026-06-09 15:11:02.787][TRC][Px24456][Tx23692] asst::OcrConfig :: asst::AbstractConfig::load | leave, 0 ms
[2026-06-09 15:11:02.787][TRC][Px24456][Tx23692] asst::AvatarCacheManager::load | enter
[2026-06-09 15:11:02.788][INF][Px24456][Tx23692] already loaded cache\avatars
[2026-06-09 15:11:02.788][TRC][Px24456][Tx23692] asst::AvatarCacheManager::load | leave, 0 ms
[2026-06-09 15:11:02.788][TRC][Px24456][Tx23692] TaskData::load | enter
[2026-06-09 15:11:02.812][TRC][Px24456][Tx23692] asst::TaskData::parse | enter
[2026-06-09 15:11:02.812][TRC][Px24456][Tx23692] asst::TaskData::lazy_parse | enter
[2026-06-09 15:11:02.822][TRC][Px24456][Tx23692] asst::TaskData::lazy_parse | leave, 10 ms
[2026-06-09 15:11:02.914][TRC][Px24456][Tx23692] asst::TaskData::parse | leave, 102 ms
[2026-06-09 15:11:02.920][TRC][Px24456][Tx23692] TaskData::load | leave, 132 ms
[2026-06-09 15:11:02.921][TRC][Px24456][Tx23692] asst::TemplResource::load | enter
[2026-06-09 15:11:02.921][INF][Px24456][Tx23692] load resource\template
[2026-06-09 15:11:02.952][TRC][Px24456][Tx23692] asst::TemplResource::load | leave, 31 ms
[2026-06-09 15:11:02.952][TRC][Px24456][Tx23692] asst::InfrastConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:11:02.954][TRC][Px24456][Tx23692] asst::InfrastConfig::parse | enter
[2026-06-09 15:11:02.956][TRC][Px24456][Tx23692] asst::InfrastConfig::parse | leave, 1 ms
[2026-06-09 15:11:02.956][TRC][Px24456][Tx23692] asst::InfrastConfig :: asst::AbstractConfig::load | leave, 3 ms
[2026-06-09 15:11:02.956][TRC][Px24456][Tx23692] asst::TemplResource::load | enter
