[2026-06-08 17:11:33.454][TRC][Px18108][Tx12757] asst::GeneralConfig::parse | leave, 0 ms
[2026-06-08 17:11:33.455][TRC][Px18108][Tx12757] asst::GeneralConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-06-08 17:11:33.455][TRC][Px18108][Tx12757] asst::RecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:33.455][TRC][Px18108][Tx12757] asst::RecruitConfig::parse | enter
[2026-06-08 17:11:33.455][TRC][Px18108][Tx12757] asst::RecruitConfig::clear | enter
[2026-06-08 17:11:33.455][TRC][Px18108][Tx12757] asst::RecruitConfig::clear | leave, 0 ms
[2026-06-08 17:11:33.456][TRC][Px18108][Tx12757] asst::RecruitConfig::parse | leave, 0 ms
[2026-06-08 17:11:33.456][TRC][Px18108][Tx12757] asst::RecruitConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-06-08 17:11:33.456][TRC][Px18108][Tx12757] asst::BattleDataConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:33.464][TRC][Px18108][Tx12757] asst::BattleDataConfig::parse | enter
[2026-06-08 17:11:33.468][TRC][Px18108][Tx12757] asst::BattleDataConfig::parse | leave, 4 ms
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::BattleDataConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::OcrConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::OcrConfig::parse | enter
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::OcrConfig::parse | leave, 0 ms
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::OcrConfig :: asst::AbstractConfig::load | leave, 0 ms
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::AvatarCacheManager::load | enter
[2026-06-08 17:11:33.470][INF][Px18108][Tx12757] already loaded cache\avatars
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] asst::AvatarCacheManager::load | leave, 0 ms
[2026-06-08 17:11:33.470][TRC][Px18108][Tx12757] TaskData::load | enter
[2026-06-08 17:11:33.494][TRC][Px18108][Tx12757] asst::TaskData::parse | enter
[2026-06-08 17:11:33.494][TRC][Px18108][Tx12757] asst::TaskData::lazy_parse | enter
[2026-06-08 17:11:33.505][TRC][Px18108][Tx12757] asst::TaskData::lazy_parse | leave, 11 ms
[2026-06-08 17:11:33.590][TRC][Px18108][Tx12757] asst::TaskData::parse | leave, 95 ms
[2026-06-08 17:11:33.598][TRC][Px18108][Tx12757] TaskData::load | leave, 128 ms
[2026-06-08 17:11:33.599][TRC][Px18108][Tx12757] asst::TemplResource::load | enter
[2026-06-08 17:11:33.599][INF][Px18108][Tx12757] load resource\template
[2026-06-08 17:11:33.638][TRC][Px18108][Tx12757] asst::TemplResource::load | leave, 39 ms
[2026-06-08 17:11:33.638][TRC][Px18108][Tx12757] asst::InfrastConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:33.641][TRC][Px18108][Tx12757] asst::InfrastConfig::parse | enter
[2026-06-08 17:11:33.642][TRC][Px18108][Tx12757] asst::InfrastConfig::parse | leave, 2 ms
[2026-06-08 17:11:33.643][TRC][Px18108][Tx12757] asst::InfrastConfig :: asst::AbstractConfig::load | leave, 4 ms
[2026-06-08 17:11:33.643][TRC][Px18108][Tx12757] asst::TemplResource::load | enter
